Estados;UF;latitude;longitude
Acre;AC;-8.77;-70.55
Alagoas;AL;-9.62;-36.82
Amapá;AM;-3.47;-65.10
Amazonas;AP;1.41;-51.77
Bahia;BA;-13.29;-41.71
Ceará;CE;-5.20;-39.53
Espírito Santo;ES;-19.19;-40.34
Goiás;GO;-15.98;-49.86
Maranhão;MA;-5.42;-45.44
Mato Grosso;MT;-12.64;-55.42
Mato Grosso do Sul;MS;-20.51;-54.54
Minas Gerais;MG;-18.10;-44.38
Pará;PA;-3.79;-52.48
Paraíba;PB;-7.28;-36.72
Paraná;PR;-24.89;-51.55
Pernambuco;PE;-8.38;-37.86
Piauí;PI;-6.60;-42.28
Rio de Janeiro;RJ;-22.25;-42.66
Rio Grande do Norte;RN;-5.81;-36.59
Rio Grande do Sul;RO;-10.83;-63.34
Rondônia;RS;-30.17;-53.50
Roraima;RR;1.99;-61.33
Santa Catarina;SC;-27.45;-50.95
São Paulo;SP;-10.57;-37.45
Sergipe;SE;-22.19;-48.79
Tocantins;TO;-9.46;-48.26
Distrito Federal;DF;-15.83;-47.86
